Hazard PK,Hazard Code,Description1,Description2,Description3
440,4009,"UN3264, Corrosive Liquid, Acidic, Inorganic",N.O.S. (Phosphoric Acid),"Class 8, PG III"
441,4010,"UN3082, Enviromentally Hazardous Substance, Liquid","N.O.S (Pydiflumetofen & Propisonazole),","Class 9, P.G. III"
442,4011,"UN3082, Environmentally Hazardous Substance,Liquid","N.O.S. (Difenoconazole), Marine Pollutant","Class 9, P.G. III"
443,4012,"UN3082, Environmentally Hazardous Substance,Liquid","N.O.S (2,4-D ester, Pyraflufen-ethyl)","Class 9, P.G. III, Marine Pollutant"
444,4013,"UN3082, Environmentally Hazardous Substance,Liquid",N.O.S. (Halauxifen-methyl),"Class 9, P.G. III"
445,4014,"UN3082, Environmentally Hazardous Substance,Liquid",N.O.S. (Chlorothalonil),"Class 9 P.G. III, Marine Pullotant"
446,4015,"UN3082, Environmentally Hazardous Substance,Liquid",N.O.S. (Clothianidin),Class 9 P.G. III
447,4016,"UN3082, Environmentally Hazardous Substance,Liquid",N.O.S. (Solvent Naptha),"Class 9 P.G. III, Marine Pollutant"
448,4017,"UN3082, Environmentally Hazardous Substance,Liquid",N.O.S. (Flumioxazin),"Class 9 P.G. III, Marine Pollutant"
449,4018,"UN2902, Residue Last Continued, Pesticides, Liquid","Toxic, N.O.S.(Glufosinate-Ammonium)","Class 6.1, PG III"
450,4019,"UN2902, Pesticides, Liquid, Toxic, N.O.S.",(Glufosinate-Ammonium),"Class 6.1, PG III"
451,4020,"UN3265, Corrosive, Liquid, Acidic, N.O.S.",((2-Chloroethyl) Phosphonic Acid),"Class 8, PG III"
452,4021,Shipped in Accordance With:,Limited Quantities Exemption 1.17 for,Documentation & Safety Marks
453,4022,"UN3082, Environmentally Hazardous Substance,Liquid",N.O.S. (Flupyradifurone Solution),Class 9 P.G. III
454,4023,"UN3082, Environmentally Hazardous Substance,Liquid",N.O.S (Clodinafop-propargyl),Class 9 P.G. III
455,4024,"UN3082, Environmentally Hazardous Substance,Liquid","N.O.S (Azoxystrobin, Tebuconazole)",Class 9 P.G. III
456,4025,"UN3082, Environmentally Hazardous Substance,Liquid",N.O.S. (Tralkoxydim),Class 9 P.G. III
457,4026,"UN3082, Environmentally Hazardous Substance,Liquid","N.O.S. (Cupric Sulfate, Pentahydrate)",Class 9 P.G. III
458,4027,"UN3082, Environmentally Hazardous Substance,Liquid",N.O.S. (Trinexapac-ethyl),Class 9 P.G. III
459,4028,"UN1993, Flammable Liquid, N.O.S.","(Hydrocarbon Solvent & 1,2,4-Trimethylbenzene)","Class 3 P.G III, Marine Pollutant"
460,4029,"UN2802, Corrosive Liquid",Copper Chloride,Class 8 P.G. III
461,4030,"UN1993, Flammable Liquid, N.O.S.","(Deltamethrin, Solvent Naptha (Petroleum)",Light Aromatic) Class 3 P.G. III
462,4031,"UN1760, Corrosive Liquid N.O.S.","(Phosphoric acid, Zink)","Class 8, PG II"
463,4032,"UN3082, Environmentally Hazardous Substance,Liquid","N.O.S. (2,4-D Ester, bromoxynil, fluroxypyr)","Class 9, PG III"
464,4033,"UN3077, Environmentally Hazardous Substance","N.O.S. (Metribuzin, Solid)","Class 9, PG III"
465,4034,"UN1993, Flammable Liquids, N.O.S.",(Naphthalene),"Class 3, PG III"
466,4035,"UN2902, Pesticides, Liquid, Toxic, N.O.S.","(Bromoxynil, Pyraflufen-ethyl)","Class 6.1, III, Marine Pollutant"
467,4036,"UN2902, Pesticide, Liquid, Toxic, N.O.S.",(contains Glufosinate),"Class 6.1, PG III"
468,4037,"UN1760, Corrosive Liquid N.O.S.",(Copper Sulphate),"Class 8, PG III"
469,4038,"UN3082, Environmentally Hazardous Substance,Liquid","N.O.S. (contains Prothioconazole, Metconazole)","Class 9, PG III"
470,4039,"UN3082, Environmentally Hazardous Substance,Liquid","N.O.S. (Fenoxaprop-P-Ethyl, Solvent Naphtha)","Class 9, PG III"
471,4040,"UN2927, Toxic Liquid, Corrosive, Organic",N.O.S. (Diquat Dibromide),"Class 6.1 (8), PGII"
472,4047,HEAT REQUIRED/PROTECT FROM FREEEZE,,
473,4048,"UN2902, Pesticide, Liquid, Toxic, N.O.S.","(BROMOXYNIL, NAPTHALENE)","Class 6.1, PG III, Marine Pollutant"
,,,,
